idbook,title,author,language,code,section,description,physical_state,status,price
17109,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200415,LG,NOVELA,BUEN ESTADO,1,0
17110,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200414,LG,NOVELA,BUEN ESTADO,1,0
17111,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200413,LG,NOVELA,BUEN ESTADO,1,0
17112,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200412,LG,NOVELA,BUEN ESTADO,1,0
17113,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200411,LG,NOVELA,BUEN ESTADO,1,0
17114,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200410,LG,NOVELA,BUEN ESTADO,1,0
17115,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200423,LG,NOVELA,BUEN ESTADO,1,0
17116,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200422,LG,NOVELA,BUEN ESTADO,1,0
17117,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200417,LG,NOVELA,BUEN ESTADO,1,0
17118,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200418,LG,NOVELA,BUEN ESTADO,1,0
17119,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200419,LG,NOVELA,BUEN ESTADO,1,0
17120,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200420,LG,NOVELA,BUEN ESTADO,1,0
17121,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200421,LG,NOVELA,BUEN ESTADO,1,0
17122,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200416,LG,NOVELA,BUEN ESTADO,1,0
17123,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200426,LG,NOVELA,BUEN ESTADO,1,0
17124,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200425,LG,NOVELA,BUEN ESTADO,1,0
17125,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200424,LG,NOVELA,BUEN ESTADO,0,0
