idloan,aqcisition_date,date_of_devolution,book_idbook,user_iduser,confirm_devolution
354,2024-11-06 11:29:44,NULL,13649,23,0
355,2024-11-06 11:28:32,NULL,7004,23,0
356,2024-11-06 11:27:55,NULL,16411,23,0
357,2024-11-06 11:27:33,NULL,14611,23,0
358,2024-11-06 11:11:15,NULL,16318,384,0
359,2024-11-06 11:00:05,NULL,17206,48,0
360,2024-11-06 10:59:33,NULL,17207,48,0
361,2024-11-06 10:58:33,NULL,17217,48,0
362,2024-11-06 10:58:09,NULL,17216,48,0
363,2024-11-06 10:57:20,NULL,17215,48,0
364,2024-11-06 10:55:55,NULL,17214,48,0
365,2024-11-06 10:55:31,NULL,17213,48,0
366,2024-11-06 10:55:06,NULL,17212,48,0
367,2024-11-06 10:54:36,NULL,17211,48,0
368,2024-11-06 10:54:05,NULL,17210,48,0
369,2024-11-06 10:53:24,NULL,17209,48,0
370,2024-11-06 10:52:54,NULL,17208,48,0
371,2024-11-06 10:45:43,NULL,5820,426,0
372,2024-11-06 09:41:17,NULL,15197,395,0
373,2024-11-06 09:40:42,NULL,15966,395,0
374,2024-11-06 09:39:32,NULL,14296,398,0
375,2024-11-06 09:38:58,NULL,11598,398,0
376,2024-11-06 08:33:57,NULL,11492,264,0
377,2024-11-06 07:53:09,NULL,5733,182,0
378,2024-11-06 07:52:13,NULL,2992,188,0
379,2024-11-05 15:51:53,NULL,10012,134,0
380,2024-11-05 15:35:56,NULL,4709,135,0
381,2024-11-05 14:14:45,NULL,16711,223,0
382,2024-11-05 14:13:57,NULL,7612,223,0
383,2024-11-05 14:12:29,NULL,5265,208,0
384,2024-11-05 14:11:42,NULL,14314,208,0
385,2024-11-05 14:10:40,NULL,16073,221,0
386,2024-11-05 13:42:04,NULL,16019,127,0
387,2024-11-05 12:47:03,NULL,7742,296,0
388,2024-11-05 12:46:32,NULL,15022,296,0
389,2024-11-05 11:47:46,NULL,16849,231,0
390,2024-11-05 11:41:43,NULL,4698,231,0
391,2024-11-05 11:25:18,NULL,2534,16,0
392,2024-11-05 11:24:31,NULL,6672,16,0
393,2024-11-05 11:23:48,NULL,2538,16,0
394,2024-11-05 11:21:03,NULL,15902,16,0
395,2024-11-05 11:20:16,NULL,7380,16,0
